Date Set,Case No,Location,ParcelID,Eff. Date
11/07/2013,145854,410 N 20TH ST,004K00130000,
04/24/2013,146296,2124 STANDARD AVE,041C01660000,10/27/2011
03/12/2013,147833,3239 HERMAN ST,008H00710000,03/12/2013
04/26/2013,148089,1520 DUMESNIL ST,039B00740000,12/04/2013
04/03/2013,150662,2332 MAGAZINE ST,001H00420000,07/21/2009
11/13/2013,151943,922 DIXIE HWY,038C01310000,11/13/2013
01/08/2013,151997,534 N 31ST ST 1,010B01090000,08/28/2009
02/26/2013,152512,409 S 28TH ST,002B00030000,12/10/2013
12/09/2013,153783,1731 W HILL ST,039F00780000,04/11/2013
11/08/2013,153787,1706 BOLLING AVE,039F01110000,02/16/2012
04/09/2013,154207,310 E JACOB ST,030B00330000,08/10/2012
12/05/2013,155190,2119 ROWAN ST,003G00160000,12/12/2008
04/23/2013,157568,652 S 26TH ST,001G01230000,04/23/2013
05/09/2013,185255,2601 VIRGINIA AVE,046K00760077,05/09/2013
03/12/2013,186544,3415 W JEFFERSON ST,008G01110000,03/20/2012
05/01/2013,186682,2917 VIRGINIA AVE,046J00560000,05/01/2013
05/17/2013,186986,662 S 43RD ST,006D00840000,10/03/2012
04/26/2013,188525,4177 RESERVOIR AVE,085B01421179,08/12/2011
06/19/2013,0V01074,2322 W MUHAMMAD ALI BLVD,002J00560000,11/15/2013
01/14/2013,0V03222,2128 W CHESTNUT ST,001D00330000,03/24/2011
10/31/2013,13PM10047,1718 W KENTUCKY ST,037D01830000,10/31/2013
09/26/2013,13PM10049,745 S 43RD ST,043C00500000,09/07/2013
09/11/2013,13PM10467,2425 CEDAR ST,002C00170000,09/11/2013
10/31/2013,13PM10574,1812 W KENTUCKY ST,038C00340000,09/11/2013
10/31/2013,13PM10643,3818 WEWOKA AVE,011E01360000,09/12/2013
09/19/2013,13PM11501,859 S 23RD ST,036G00130000,09/19/2013
09/30/2013,13PM11967,1808 BEECH ST,040A00460000,09/24/2013
12/02/2013,13PM11981,1729 BANK ST,015G01460000,09/24/2013
12/11/2013,13PM12340,3632 GREENWOOD AVE,045D00710000,09/27/2013
11/13/2013,13PM12379,1110 DIXIE HWY,038F01100000,11/13/2013
12/06/2013,13PM13854,2210 GRAND AVE,038E00670000,10/16/2013
10/24/2013,13PM14397,3414 W KENTUCKY ST,045B00450000,11/18/2013
12/16/2013,13PM1451,4411 RONDEAN DR,090G00690000,05/29/2013
10/29/2013,13PM14543,2320 ROWAN ST,003L01230000,01/13/2014
11/06/2013,13PM15134,732 ZANE ST,029G00340000,11/06/2013
11/20/2013,13PM15852,2661 ROWAN ST,003J00480000,11/20/2013
11/25/2013,13PM16010,314 N 22ND ST,003F02120000,11/25/2013
12/06/2013,13PM16359,1454 S 9TH ST,042B00980000,12/05/2013
12/09/2013,13PM1718,3308 HALE AVE,045J00930000,06/03/2013
11/25/2013,13PM2072,1310 S 16TH ST,039D00910000,11/25/2013
07/31/2013,13PM4413,2805 W CHESTNUT ST,001A00910000,07/13/2013
07/16/2013,13PM5020,2325 ACKERMAN CT,003L01220000,07/16/2013
08/12/2013,13PM5893,823 HAZEL ST,043H01920000,07/23/2013
08/13/2013,13PM6041,659 MADELON CT,006H00520031,07/25/2013
08/05/2013,13PM6290,4012 LARKWOOD AVE,007C00170000,07/29/2013
07/29/2013,13PM6329,2929 W MUHAMMAD ALI BLVD,002G00820000,07/29/2013
11/21/2013,13PM6751,1622 HASKIN AVE,067F01150000,07/31/2013
10/08/2013,13PM7080,1324 LILLIAN AVE,063H00030000,08/02/2013
08/09/2013,13PM7692,507 N 17TH ST,015H00040000,08/09/2013
11/11/2013,13PM7733,2301 7TH STREET RD,063A01280000,08/10/2013
08/15/2013,13PM8240,2200 W OAK ST,038H00410000,08/15/2013
11/13/2013,13PM8456,2112 GRIFFITHS AVE,003G01460000,08/18/2013
10/11/2013,13PM9086,3501 CANE RUN RD,327700020000,08/23/2013
11/20/2013,13PM9403,1031 MULBERRY ST,026C00840000,08/27/2013
12/27/2013,13PM9681,1452 S 9TH ST,042B00990000,08/29/2013
10/15/2013,1458088,1793 W GAULBERT AVE,041F00620000,09/01/2011
01/10/2013,160501,1766 W BURNETT AVE,041F01980000,10/03/2012
12/18/2013,192564,1535 S 32ND ST,049L00100000,08/21/2007
08/08/2013,198876,426 S 28TH ST,002G01420000,03/11/2013
12/17/2013,199769,1557 S 7TH ST,034F00320000,08/10/2010
