Date Set,Case No,Location,ParcelID,Eff. Date
03/14/2013,326697,1781 W HILL ST,041F01250000,03/05/2009
01/02/2013,328858,1953 S 16TH ST,042F00270000,01/02/2013
11/18/2013,328962,3614 RUDD AVE,012E00530000,11/04/2009
12/05/2013,332869,1637 DIXDALE AVE,041K00830006,03/01/2011
12/23/2013,332937,2906 WOODLAND AVE,048J01300000,07/11/2011
03/07/2013,333092,1784 W GAULBERT AVE,041F00320000,02/25/2013
05/09/2013,335085,1430 SALE AVE,064D00510000,06/16/2010
12/09/2013,335100,1635 PRENTICE ST,037D02150000,12/09/2013
04/26/2013,335172,4210 BROWNS LN,091P01420000,07/05/2012
01/09/2013,336322,208 S 28TH ST,002A00960000,01/09/2013
11/05/2013,336484,1513 W OAK ST,037G00200000,11/05/2013
11/19/2013,337396,1838 W HILL ST,041D02020000,04/09/2009
01/14/2013,337728,222 S 25TH ST,002C00890000,12/06/2013
11/06/2013,339223,1615 BERNHEIM LN,041K00610000,10/08/2012
01/31/2013,339473,1768 DUMESNIL ST,039A00360000,12/04/2013
02/18/2013,339547,2306 ST LOUIS AVE,040J00930000,01/04/2010
05/07/2013,341354,304 N 41ST ST,009C00200000,06/23/2011
04/30/2013,341377,3422 W MUHAMMAD ALI BLVD,007F00190000,05/12/2009
05/21/2013,341489,105 S 43RD ST,009G00780000,08/23/2012
05/02/2013,341559,2213 ST LOUIS AVE,041A00050000,06/22/2011
01/09/2013,341579,813 HAZEL ST,043H01870000,10/27/2009
02/19/2013,342553,634 S 18TH ST,001J01020000,05/15/2012
01/09/2013,342577,4549 SOUTHWESTERN PKY,008C00200000,10/02/2012
01/08/2013,342791,3209 W BROADWAY,006H01470000,03/20/2012
04/16/2013,342874,659 S 43RD ST,006E00180000,05/13/2011
01/24/2013,343240,747 S 33RD ST,043H00260000,08/07/2012
10/15/2013,343379,1786 WILSON AVE,039C00700000,08/09/2012
12/12/2013,343383,1790 WILSON AVE,039C00680000,05/22/2013
10/29/2013,343863,1466 S 9TH ST,042B00760000,10/12/2011
04/09/2013,343875,1901 W MADISON ST,002L02490000,02/16/2012
04/24/2013,343954,2316 MAGAZINE ST,001H00490000,04/25/2011
01/07/2013,344072,3513 GREENWOOD AVE,045B00140000,08/16/2012
05/20/2013,344479,3802 MIAMI AVE,011B01040000,03/29/2010
10/15/2013,345068,1310 BALDWIN ST,039C01620000,10/15/2013
10/08/2013,345081,3006 FLEMING AVE,088E02150005,05/02/2013
04/09/2013,345285,2012 HIGHLAND AVE,075C00700000,08/20/2010
05/10/2013,345364,3911 MIAMI AVE,011B00570000,08/01/2012
01/11/2013,345651,3119 ELLIOTT AVE,006J00930000,06/16/2009
02/22/2013,346558,3229 RIVER PARK DR,007J00990000,03/07/2012
04/22/2013,347260,2625 DIXDALE AVE,040K00820088,10/25/2012
03/12/2013,347755,419 MARRET AVE,023D00060000,11/09/2012
01/22/2013,347885,2633 ST XAVIER ST,004G01370000,03/18/2010
05/20/2013,348426,2536 W BURNETT AVE,040H00300000,05/20/2013
05/21/2013,348657,105 S LONGWORTH AVE,009E00850000,11/29/2012
05/01/2013,348764,103 N LONGWORTH AVE,009E00660000,10/18/2012
12/13/2013,348979,1601 MAPLE ST,036D00140000,10/30/2013
10/31/2013,349221,1827 W KENTUCKY ST,038C00530000,10/31/2013
10/31/2013,349226,1821 W KENTUCKY ST,038C00560000,10/31/2013
05/06/2013,349638,2829 GARFIELD AVE,003A01250000,02/22/2013
03/15/2013,349734,4022 W MUHAMMAD ALI BLVD,007C00440000,02/28/2012
04/25/2013,350717,2425 MAPLE ST,036A00060000,07/22/2009
04/16/2013,350926,1327 TEMPLE ST,041A00350000,03/07/2011
03/14/2013,350990,1786 W HILL ST,041F00910000,10/05/2011
03/12/2013,351027,1335 S FLOYD ST,032G00700000,03/12/2013
11/26/2013,351687,3028 SOUTHERN AVE,049C01310000,01/10/2013
11/20/2013,353032,664 CURRY CT,006F00280000,12/06/2013
11/06/2013,353415,2201 S 9TH ST,034D00070036,08/10/2009
10/16/2013,353678,1539 S 31ST ST,049C01000000,07/25/2011
04/03/2013,353948,3608 RIVER PARK DR,007H00450000,01/30/2012
04/09/2013,354334,2014 HIGHLAND AVE,075C00700000,03/16/2012
10/22/2013,354914,1791 W GAULBERT AVE,041F00630000,12/03/2012
12/09/2013,355445,311 INVERNESS AVE,060K00100000,09/15/2009
05/10/2013,355607,425 N 28TH ST,004G00600000,12/05/2013
04/02/2013,355672,3722 RIVER PARK DR,006C01450000,04/01/2013
01/02/2013,355681,2534 W JEFFERSON ST,002C00340000,02/24/2012
05/20/2013,355709,1756 W GAULBERT AVE,041F00460000,06/17/2013
03/28/2013,355951,3714 CENTER ST,052L00540000,09/12/2011
01/24/2013,356087,861 S 32ND ST,043H01290000,12/04/2013
02/19/2013,356318,1925 W BROADWAY,001J00800000,04/28/2011
01/02/2013,356419,1811 BERRY BLVD,064J00500000,07/25/2011
12/10/2013,356958,1210 S 15TH ST,039B01760000,10/29/2013
04/03/2013,357326,3726 WHEELER AVE,065D01380000,10/09/2013
04/15/2013,358088,3634 VERMONT AVE,007H01350000,03/15/2010
05/13/2013,358607,1533 CATALPA ST,040F00340000,02/28/2012
04/10/2013,358632,3906 WEWOKA AVE,011E01240000,04/10/2013
04/11/2013,360864,343 S 42ND ST,008D00930000,10/23/2013
01/02/2013,361308,3427 VERMONT AVE,007F00020000,05/16/2012
01/09/2013,361643,2822 W KENTUCKY ST,046D00240000,11/08/2012
05/09/2013,361838,1500 SALE AVE,064D00500000,10/30/2009
12/27/2013,362016,1536 S 9TH ST,042C00750000,10/25/2012
03/15/2013,362909,3116 W JEFFERSON ST,008H01130000,11/17/2009
03/29/2013,364202,918 S 13TH ST,037C00640000,12/03/2009
02/25/2013,364675,2707 W KENTUCKY ST,046D01600000,12/12/2013
11/01/2013,364702,1734 W BURNETT AVE,039F01480000,02/21/2012
11/26/2013,366320,1723 W KENTUCKY ST 1,037A00200000,11/26/2013
03/22/2013,366745,2506 ROWAN ST,003K01070000,03/22/2013
12/17/2013,366926,1731 ST LOUIS AVE,039C00500000,04/08/2013
01/10/2013,367912,1620 HASKIN AVE,067F01140000,01/25/2012
03/20/2013,369406,2427 ST XAVIER ST,004H01610000,04/19/2012
06/03/2013,369913,244 GLENDORA AVE,008A01170000,07/19/2010
04/05/2013,371827,1713 PRENTICE ST,037D01880000,12/09/2013
12/03/2013,372190,1736 W HILL ST,039F00540000,03/12/2012
04/08/2013,372454,744 S 32ND ST,043H00630000,08/07/2012
04/08/2013,373754,3920 S 2ND ST,055E00530000,09/05/2013
04/29/2013,373795,2310 STANDARD AVE,040H01200000,04/10/2013
03/25/2013,375022,2203 ST LOUIS AVE,041A00100000,04/12/2011
12/26/2013,375144,1776 WILSON AVE,039C00750000,04/12/2011
03/12/2013,375145,303 S 38TH ST,008G00480000,06/14/2010
04/11/2013,375347,102 S 38TH ST,009J01180000,04/30/2010
05/07/2013,375499,888 CLARKS LN,024L01590000,10/18/2012
03/19/2013,375579,1213 W WOODLAWN AVE,053G00160000,03/19/2013
01/22/2013,375642,823 S 32ND ST,043H01160000,03/16/2012
04/04/2013,375998,323 S 42ND ST,008D01000000,05/13/2010
03/18/2013,376579,1232 OLEANDA AVE,051D00510000,01/03/2014
04/02/2013,376959,624 S 41ST ST,006B00640000,12/13/2011
04/03/2013,377130,4140 LARKWOOD AVE,007B00150000,04/03/2013
01/10/2013,377223,2122 OSAGE AVE,038F00160000,08/20/2012
02/20/2013,377237,2300 DUMESNIL ST,038K00630000,08/22/2012
06/19/2013,377462,407 S 27TH ST,002H00980000,05/18/2010
10/16/2013,377645,2625 PORTLAND AVE 1,005F00060000,01/13/2012
04/04/2013,378565,3663 KELLY WAY,082F00610000,12/07/2011
05/14/2013,378777,114 N 39TH ST,009J00240000,07/30/2013
10/23/2013,378791,2122 CLEVELAND AVE,004J00450000,10/11/2011
01/08/2013,378933,3018 GRAND AVE,046E00420000,06/10/2010
09/30/2013,379029,664 S 37TH ST,006F01490000,09/26/2011
04/25/2013,379061,4330 S BROOK ST,055K00230000,04/02/2012
04/25/2013,379063,4328 S BROOK ST,055K00240000,04/02/2012
03/15/2013,379114,3830 W MUHAMMAD ALI BLVD,007D01280000,07/09/2012
03/07/2013,379227,220 N 18TH ST,015F00500000,11/29/2012
01/03/2013,379864,1229 ROADWAY AVE,063E00210000,06/14/2010
05/13/2013,379951,1323 CYPRESS ST,048E01330000,
02/20/2013,380175,4145 WHEELER AVE,066E01130000,05/02/2011
05/16/2013,380284,904 S 22ND ST,038B01310000,03/12/2012
04/23/2013,380315,805 S CLAY ST,021G01020000,02/21/2012
11/25/2013,380390,1232 S 16TH ST,039B01850000,11/25/2013
04/24/2013,380483,616 S 20TH ST,001D00290000,11/29/2012
04/03/2013,380591,3537 RIVER PARK DR,007H00900000,06/16/2010
01/10/2013,380702,3150 VERMONT AVE,007K00790000,06/25/2010
04/05/2013,380787,5332 BUCKNER AVE,060J00290018,07/31/2012
04/08/2013,382060,1214 S JACKSON ST,023A00380000,09/17/2012
04/09/2013,382130,2723 MAGAZINE ST,001A00250000,11/20/2013
03/29/2013,382131,2719 MAGAZINE ST,001A00270000,11/19/2013
10/24/2013,382139,1921 W MAIN ST,003M01450000,04/20/2011
04/01/2013,382761,4569 S 3RD ST,057L00040000,02/10/2011
04/10/2013,382892,204 N 26TH ST,003J00760000,12/05/2013
10/15/2013,383213,1724 WILSON AVE,039D00040000,03/06/2013
03/05/2013,383380,3624 RIVER PARK DR,007H00180000,07/12/2010
09/30/2013,383764,412 S 38TH ST,008F01070000,07/16/2010
05/01/2013,383901,1633 W JEFFERSON ST,014A00310000,11/19/2013
10/24/2013,384583,130 W GARRETT ST,055F00430000,04/02/2013
10/31/2013,385120,1847 W KENTUCKY ST,038C00430000,10/31/2013
11/08/2013,385469,1762 BOLLING AVE,041F01560000,10/24/2012
05/14/2013,385542,828 SUTCLIFFE AVE,043F01250000,01/08/2014
02/20/2013,385608,750 S 22ND ST,036B00230000,10/28/2013
02/27/2013,385687,2806 W CHESTNUT ST,001A00560000,09/25/2012
01/30/2013,385882,814 HUMLER ST,036F02070000,01/30/2013
12/02/2013,386672,1843 GRAND AVE,038F01410000,12/02/2013
12/04/2013,387115,1523 DUMESNIL ST,039B01430000,12/04/2013
11/26/2013,387250,2414 GARLAND AVE,038A01380000,03/07/2013
03/11/2013,387628,2330 W LEE ST,040E00420000,03/11/2013
01/14/2013,387749,3423 DEL PARK TER,007J00030000,01/14/2013
04/04/2013,388025,505 S 32ND ST,007G00180000,08/07/2012
04/02/2013,389264,2116 W MADISON ST,001D00750000,04/19/2011
03/22/2013,390969,4224 CLARK ST,085D01600007,03/22/2013
12/17/2013,391004,1704 W GAULBERT AVE,039F00240000,09/02/2011
12/03/2013,391106,1733 WILSON AVE,039C01550000,12/03/2013
04/22/2013,391124,2502 W JEFFERSON ST,002C00480000,11/02/2011
03/12/2013,392045,2823 W MADISON ST,002G00210000,11/20/2012
10/30/2013,392193,629 DAVIES AVE,034F00540000,03/21/2013
04/23/2013,392458,1604 STORY AVE,020G00210000,12/06/2012
12/03/2013,392857,1745 WILSON AVE,039C01520000,12/03/2013
12/03/2013,392883,1743 WILSON AVE,039C01520000,12/03/2013
05/07/2013,393777,234 S 25TH ST,002C01480000,12/14/2012
11/11/2013,394381,1420 S 7TH ST,031J01240000,04/25/2011
03/15/2013,394925,1446 S 11TH ST,042B00340000,04/18/2011
10/22/2013,395120,646 N 24TH ST,005F02080000,01/18/2013
12/02/2013,395659,1704 GALLAGHER ST,037F01390000,12/02/2013
12/23/2013,396106,808 OAKLAND AVE,031J00900000,08/30/2012
11/11/2013,396327,1466 S 7TH ST,031J00290000,12/08/2010
11/01/2013,397219,325 N 20TH ST,003G02210000,08/22/2013
10/15/2013,397408,1312 BALDWIN ST,039C01620000,10/15/2013
02/26/2013,397963,1023 SALE AVE,052A01800000,02/11/2011
01/02/2013,398116,151 N JANE ST,072A00880000,10/02/2013
01/16/2013,399411,2639 HALE AVE,046G00220000,08/21/2012
12/03/2013,399698,1734 W HILL ST,039F00550000,05/17/2012
04/10/2013,399718,529 E OAK ST,023A01000000,03/10/2011
11/15/2013,399809,132 HARLAN AVE,055D00720000,04/01/2013
02/15/2013,400507,3236 W MUHAMMAD ALI BLVD,007F00580000,02/15/2013
11/25/2013,400861,1781 W GAULBERT AVE,041F00680000,03/31/2011
10/23/2013,401431,2016 PIRTLE ST,003M02280000,03/08/2011
11/14/2013,401514,544 S 20TH ST,001D01060000,11/14/2013
11/27/2013,402716,1236 S 17TH ST,039A00790000,11/27/2013
04/30/2013,403094,3909 BANK ST,011B00370000,03/30/2011
02/05/2013,403938,3036 GREENWOOD AVE,046E00800000,10/04/2011
09/20/2013,404038,3013 GREENWOOD AVE,046C00190000,12/02/2012
12/17/2013,404809,1509 HASKIN AVE,067E00560000,04/19/2011
03/29/2013,405582,830 S 12TH ST,036K00580000,04/26/2011
04/24/2013,406007,105 S 45TH ST,009F00830000,05/02/2011
01/04/2013,406027,2723 CEDAR ST,002B00080000,03/05/2012
02/05/2013,406126,1617 S SHELBY ST,024G00010000,02/05/2013
04/02/2013,406294,2300 W CHESTNUT ST,001C00650000,05/04/2011
04/15/2013,406390,634 E ST CATHERINE ST,023B00110000,03/05/2012
03/19/2013,406880,2833 NORTHWESTERN PKY,005A00020000,03/13/2012
09/30/2013,407038,667 S 37TH ST,006G00600000,04/02/2013
03/07/2013,407348,1210 ELLISON AVE,028H00260000,05/12/2011
11/13/2013,407469,1831 GREEN ALY,002F00700000,05/13/2011
05/16/2013,407477,4055 LA SALLE AVE,066G00390000,04/30/2012
05/07/2013,407568,612 CAMP ST,023E00740000,05/18/2011
12/04/2013,407750,1621 DUMESNIL ST,039B00980000,12/04/2013
04/02/2013,407756,944 S SHELBY ST,022B00910000,04/02/2013
04/29/2013,407974,3713 GREENWOOD AVE,045A00060000,06/13/2011
04/22/2013,408165,622 E BRECKINRIDGE ST,022B01420000,05/18/2011
05/16/2013,408311,4133 LARKWOOD AVE,008D00910000,09/28/2012
04/29/2013,408495,1427 TEXAS AVE,026H00460000,12/11/2012
04/29/2013,408515,728 S 41ST ST,043D00420000,07/11/2012
01/10/2013,408538,321 N 42ND ST,009C00150000,10/08/2012
12/03/2013,408623,1772 W HILL ST,041F00980000,12/03/2013
05/07/2013,408629,1358 S 26TH ST,048E01410000,05/07/2013
04/02/2013,408668,2346 W MADISON ST,001C01160000,05/23/2011
11/08/2013,409118,1114 TENNESSEE AVE,063E01250000,09/20/2011
04/09/2013,409239,3513 HUGHES RD,082N00470000,07/18/2012
05/07/2013,409449,680 CECIL AVE,006E00850000,05/27/2011
01/03/2013,409844,2808 SLEVIN ST,003D00960000,06/08/2011
03/20/2013,409999,4108 RIVER PARK DR,006B00780000,01/10/2014
05/22/2013,410021,1029 BLUEGRASS AVE,054A00660000,03/19/2013
05/07/2013,410103,3821 PARKER AVE,011E01280000,11/07/2011
12/04/2013,410240,1304 WELLER AVE,063B00740000,02/06/2013
04/09/2013,410418,1282 EVERETT AVE,075E01210000,06/06/2011
12/09/2013,410489,710 INVERNESS AVE,061G00370000,02/07/2013
01/14/2013,411157,3460 ILLINOIS AVE,086B00390006,08/22/2013
01/07/2013,411293,619 LOUIS COLEMAN JR DR,007J00310000,09/20/2012
01/14/2013,411328,1104 S SHELBY ST,023B00670000,01/05/2012
05/09/2013,411577,1604 BICKNELL AVE,066E00060000,06/13/2011
02/19/2013,412113,600 M ST,050E01280000,12/10/2013
11/26/2013,412242,518 N 17TH ST,015G01790000,06/19/2012
08/06/2013,413028,3748 KAHLERT AVE,065C00110000,08/05/2011
10/31/2013,413043,1743 W KENTUCKY ST,037A00080000,10/31/2013
01/03/2013,413330,1502 CLARA AVE,064D01700000,08/19/2013
03/22/2013,413463,1618 WILSON AVE,039D00560000,04/10/2013
01/04/2013,413472,662 EASTLAWN AVE,006J00330000,11/16/2012
05/22/2013,413560,534 CALDWELL ST,022A00930000,06/30/2011
02/19/2013,413638,410 S 28TH ST,002A00450000,07/13/2011
10/25/2013,414001,1810 DUNCAN ST,015F00490000,04/03/2013
01/04/2013,414110,652 LOUIS COLEMAN JR DR,006H00880000,01/04/2013
04/03/2013,414410,4409 CLOVERLEAF DR,090B00620000,
05/08/2013,414460,5600 HALSTEAD AVE,087K02300230,08/12/2013
10/25/2013,414646,1739 ROWAN ST 1,015F00560000,11/19/2013
05/22/2013,414666,1727 BOLLING AVE,039F01270000,03/09/2012
12/30/2013,414745,1739 W HILL ST,039F00740000,07/15/2011
05/02/2013,414907,1852 DUMESNIL ST,038L01460000,07/26/2011
03/19/2013,414946,1473 BLUEGRASS AVE,066E01910000,07/20/2011
05/15/2013,415378,1604 ARLING AVE,067E00500000,11/12/2012
03/05/2013,415456,4021 W BROADWAY,006E01550000,04/09/2012
02/06/2013,415568,829 W EVELYN AVE,052B01250000,02/06/2013
02/15/2013,415609,1222 SEELBACH AVE,053A00480000,10/04/2013
03/07/2013,415702,3723 W BROADWAY,006F01150000,07/22/2011
02/20/2013,415905,2015 WOODLAND AVE,041B00790000,08/28/2013
04/24/2013,415977,802 CECIL AVE,043C01400000,12/12/2013
03/15/2013,416593,4117 W MUHAMMAD ALI BLVD,007B00450000,05/24/2012
11/07/2013,416599,1614 WILSON AVE,039D00580000,07/29/2011
11/12/2013,416602,2333 ACKERMAN CT,003L01160000,02/01/2012
03/14/2013,416662,310 MAC BRAE RD,059E00520071,
02/07/2013,416984,1706 WILSON AVE,039D00130000,08/01/2011
04/02/2013,417118,2711 W MADISON ST,002G00590000,08/18/2011
03/28/2013,417482,2804 S 5TH ST,050F00360000,11/12/2012
05/14/2013,417680,3313 GRAND AVE,045F00840000,05/14/2013
03/19/2013,417774,1200 BICKNELL AVE,053G00480000,08/24/2011
10/17/2013,417938,1430 S 13TH ST,042A00090000,12/14/2011
03/20/2013,418229,1149 S 7TH ST,029J01480000,08/16/2011
01/15/2013,418534,114 STOLL AVE,069J00620000,08/17/2011
04/30/2013,418553,2720 SLEVIN ST,003D01030000,08/25/2011
01/03/2013,419003,714 OAKLAND AVE,031J02030000,12/07/2011
01/11/2013,419057,410 S 26TH ST,002B00290000,08/23/2011
06/19/2013,419313,1942 W CHESTNUT ST,001E00540000,11/05/2012
10/04/2013,419998,905 S 47TH ST,044A01430000,09/06/2011
05/22/2013,420303,832 HAZEL ST,043H01600000,05/22/2013
03/22/2013,420326,2525 W CHESTNUT ST,001B00650000,02/21/2012
11/21/2013,420500,3013 PENWAY AVE,040K01470025,05/15/2013
12/12/2013,420802,1833 GRAND AVE,038F01450000,10/22/2013
05/21/2013,420916,2116 HOWARD ST,036G00590000,02/05/2013
09/26/2013,420927,3626 WOODRUFF AVE,065B01370000,12/07/2011
10/24/2013,421378,1819 W MARKET ST,003M00890000,04/10/2012
04/08/2013,421419,1702 COLSTERWORTH LN,065R00120000,12/19/2013
04/29/2013,421523,3214 GARLAND AVE,045C00990000,09/25/2012
04/11/2013,422100,2404 EMIL AVE,083A00370000,03/19/2013
01/18/2013,422105,406 N 20TH ST,004K00110000,10/14/2013
12/09/2013,422399,1661 PRENTICE ST,037D02020000,12/09/2013
11/20/2013,422589,4402 EXLEY CT,044G00710000,06/29/2012
03/25/2013,422745,2112 STANDARD AVE,041C01710000,12/07/2012
04/03/2013,425342,2429 W BROADWAY,001G00520000,11/04/2011
02/20/2013,426207,2128 NEW MAIN ST,070F00240000,12/31/2013
02/20/2013,426389,2120 NEW MAIN ST,070F00220000,09/20/2013
03/29/2013,426942,2924 BRINKEY WAY 1,091E03270000,10/09/2012
11/26/2013,427692,1225 S 32ND ST,046H00010000,12/02/2011
03/18/2013,427750,2522 GILLIGAN ST,004H02360000,12/21/2011
05/08/2013,428599,2910 W MUHAMMAD ALI BLVD,002G00110000,05/08/2013
11/19/2013,429651,217 S 19TH ST,002F01210000,04/09/2013
05/01/2013,430576,2913 VIRGINIA AVE,046J00570000,04/16/2013
10/24/2013,430922,200 THOMPSON AVE,088A01550000,09/26/2012
06/07/2013,431097,906 S SHELBY ST,022B02180000,02/03/2012
03/21/2013,431128,1209 S 23RD ST,038L00500000,11/26/2012
04/04/2013,431890,1725 W HILL ST,039F00800000,08/22/2012
09/11/2013,431935,4951 S 3RD ST,060B00330000,02/21/2013
11/18/2013,432183,2106 BOLLING AVE,041C00310000,03/29/2013
03/07/2013,432270,2727 GRAND AVE,046G00800000,01/16/2013
02/15/2013,432368,125 N 35TH ST,010F00640000,03/14/2012
04/11/2013,432552,416 KILMORY AVE,059E01520030,12/10/2012
03/21/2013,432670,1840 W ORMSBY AVE,038L01240000,02/29/2012
04/09/2013,432978,462 N 25TH ST,004H01530000,02/28/2012
12/11/2013,433127,1838 GRAND AVE,038F00950000,01/25/2013
03/01/2013,433437,1733 W GAULBERT AVE,039F00300000,03/06/2012
01/29/2013,433472,3911 JEWELL AVE,011H00760000,12/30/2013
03/13/2013,433842,2818 W MAIN ST,003H00710000,10/22/2012
04/16/2013,434007,964 S SHELBY ST,022B00810000,03/18/2013
04/17/2013,434215,212 POPE ST,069A00950000,03/19/2012
03/14/2013,434409,2310 W GAULBERT AVE,040E00790000,06/06/2012
03/20/2013,434411,2319 MAGAZINE ST,001C00170000,03/20/2012
04/05/2013,434412,2537 OWEN ST,003E01150000,03/28/2012
05/14/2013,434449,256 S HITE AVE,071C01070000,03/22/2012
09/26/2013,434526,3310 GARLAND AVE,045C00860000,03/21/2012
06/04/2013,434719,241 S 39TH ST,008F00150000,03/22/2012
11/07/2013,434754,1712 ST LOUIS AVE,039C00260000,12/04/2013
03/11/2013,434759,2112 WILSON AVE,041A00420000,09/04/2013
12/30/2013,434794,1718 ST LOUIS AVE,039C00230000,03/13/2013
12/19/2013,434830,657 MIX AVE,034F00830000,03/26/2012
03/05/2013,434853,132 N 40TH ST,009H01590000,03/26/2012
01/24/2013,434895,3503 RIVER PARK DR,007H01170000,01/24/2013
10/14/2013,434896,605 S 35TH ST,007J00180000,03/26/2012
11/04/2013,435060,638 JORDAN AVE,034F00210000,10/10/2012
01/04/2013,435064,3125 W KENTUCKY ST,046C00750000,03/28/2012
11/15/2013,435066,228 DELMONT AVE,088A00730000,11/15/2013
04/18/2013,435236,1918 S 28TH ST,040K00940105,04/02/2012
05/22/2013,435461,2928 VIRGINIA AVE,046J00300000,
01/04/2013,435665,4726 S 6TH ST,054F00270000,
04/18/2013,435682,2333 W GAULBERT AVE,040G00230000,09/25/2013
10/15/2013,435709,4541 OLD HAZELWOOD AVE,067F00730000,04/05/2012
03/13/2013,435741,3405 W KENTUCKY ST,045B00770000,03/13/2013
04/02/2013,435935,2410 W MADISON ST,001B01260000,05/09/2012
05/06/2013,435996,313 N 42ND ST,009C00130000,04/03/2013
10/02/2013,436132,2016 DUNCAN ST,003G02600000,10/02/2013
12/02/2013,436148,1138 ALGONQUIN PKY,063C01340000,07/16/2012
02/21/2013,436436,715 DRESDEN AVE,052C01340000,04/29/2013
04/02/2013,436491,546 S 20TH ST,001D01060000,
04/02/2013,436503,2712 W MUHAMMAD ALI BLVD,002G00730000,11/27/2012
02/26/2013,436596,6909 MANSLICK RD,067K01290000,
05/14/2013,436605,3806 WEWOKA AVE,011E00800000,04/01/2013
04/25/2013,436881,4218 BUXTON DR,091C00810000,03/19/2013
12/16/2013,436949,1257 EUCLID AVE,063A00150000,04/16/2012
03/11/2013,436959,1736 FRANKFORT AVE,069K00900000,07/03/2012
03/20/2013,437127,3251 VIRGINIA AVE,045J00520000,05/15/2013
04/02/2013,437175,3804 RIVER PARK DR,006C00980000,04/02/2013
10/17/2013,437203,5013 NEW CUT RD,061D00850002,01/10/2013
11/18/2013,437215,1737 S 25TH ST,040C01100000,04/09/2013
03/21/2013,437225,209 NORTHWESTERN PKY,009B00100000,04/17/2012
11/14/2013,437255,306 SHORT ST,003G01250000,04/18/2012
03/19/2013,437328,1617 BLUEGRASS AVE,066F00050000,10/23/2012
03/21/2013,437490,917 E MADISON ST,016E01560000,03/21/2013
01/14/2013,437562,801 HAZEL ST,043H01810000,11/20/2012
12/18/2013,437598,726 IOWA AVE,050H01050000,04/20/2012
03/21/2013,437745,2017 STANDARD AVE,041B00180000,09/27/2012
02/26/2013,437792,540 LOUIS COLEMAN JR DR,007J01310000,10/18/2013
02/07/2013,437806,2306 W MUHAMMAD ALI BLVD,002J00630000,05/01/2012
02/25/2013,437807,2733 W CHESTNUT ST,001A01100000,05/09/2012
11/19/2013,437834,1711 CYPRESS ST,040C00550000,04/09/2013
01/30/2013,437849,2206 GREENWOOD AVE,038E01060000,01/30/2013
04/26/2013,437875,3312 W MAIN ST,010F00370000,10/22/2012
03/15/2013,437921,4305 W MUHAMMAD ALI BLVD,007A00300000,03/15/2013
03/19/2013,437969,1471 BLUEGRASS AVE,066E01470000,03/19/2013
04/08/2013,437990,3730 RIVER PARK DR,006C01400000,04/25/2012
12/03/2013,438292,1212 EUCLID AVE,063A00750000,10/23/2012
05/21/2013,438344,1139 S 32ND ST,046H00720000,05/15/2013
02/08/2013,438584,1223 LYDIA ST,026D02420000,
03/21/2013,438621,2214 DUMESNIL ST,038L00760000,05/10/2012
10/08/2013,438632,5600 SOUTHSIDE DR,060E00670000,02/20/2013
11/20/2013,438636,2649 ROWAN ST,003J00540000,05/02/2012
05/17/2013,438653,1705 LEE CT,024C00600000,02/22/2013
10/16/2013,438736,1527 SHINGO AVE,067B00930000,05/02/2012
04/02/2013,438980,677 S 38TH ST,006F01220000,09/27/2012
04/29/2013,439126,231 KENOAK DR,061H01000083,10/16/2012
04/15/2013,439362,4018 PRESTON HWY,083J00350000,
05/07/2013,439519,1508 S 28TH ST,040F00740000,06/01/2012
04/17/2013,439762,536 DRESDEN AVE,052C01180000,04/17/2013
03/06/2013,439846,2119 W BURNETT AVE,041C01490000,05/15/2012
10/22/2013,440160,1715 W GAULBERT AVE,039F00380000,05/14/2012
11/25/2013,440165,1713 W GAULBERT AVE,039F00390000,05/14/2012
11/01/2013,440335,511 N 17TH ST,015H00050000,05/15/2012
03/20/2013,440500,1301 LYDIA ST,026E00220000,11/05/2012
04/15/2013,440606,1790 W HILL ST,041F00890000,04/15/2013
02/27/2013,440902,2821 W MADISON ST,002G00220000,09/25/2012
03/12/2013,440973,1008 S 32ND ST,045C00440000,06/07/2012
04/19/2013,441079,105 E SOUTHERN HEIGHTS AVE,057C00620000,05/29/2012
03/04/2013,441104,1109 CHARLES ST,025J02580000,03/04/2013
12/17/2013,441291,1737 W GAULBERT AVE,039F01760000,11/08/2012
05/10/2013,441398,3825 MIAMI AVE,011B01120000,05/24/2012
02/28/2013,441464,2808 S 5TH ST,050F00340000,05/29/2012
05/01/2013,441472,819 DEARBORN AVE,043F00750000,05/01/2013
06/25/2013,441931,115 S 42ND ST,009H00150000,05/31/2012
10/14/2013,441984,323 N 20TH ST,003G02200000,06/04/2013
01/24/2013,442269,864 FETTER AVE,024J00530000,11/04/2013
12/17/2013,442376,1788 BOLLING AVE,041F01460000,06/04/2012
02/19/2013,442394,628 S 22ND ST,001C00400000,06/28/2012
02/12/2013,442586,6600 ROB ROY ST,059E01940000,12/17/2012
06/12/2013,442662,658 S 39TH ST,006F00600000,10/02/2012
12/11/2013,442701,1431 HEMLOCK ST,048J01000000,06/07/2012
04/01/2013,442747,958 S 6TH ST 1,029E00620000,06/08/2012
04/17/2013,442751,2329 MAPLE ST,036A00510000,10/07/2013
12/11/2013,442814,2636 GREENWOOD AVE,046G01270000,07/02/2012
01/23/2013,443281,631 MADELON CT,006H01940000,07/16/2012
12/03/2013,443311,1123 EUCLID AVE,063C00160000,06/14/2012
01/04/2013,443634,679 MADELON CT,006H00480000,10/21/2013
