CaseLocation,Expenses,LengthAbandoned
1821 W KENTUCKY ST,2809.91,1552
1821 W OAK ST,0,477
1822 BANK ST,0,1276
1822 HALE AVE,351.75,1499
1822 OSAGE AVE,417.28999999999996,1551
1822 W OAK ST,163.32,810
1823 DATE ST,2259,1493
1823 GRAND AVE,3140.98,1192
1823 LYTLE ST,705.44,400
1823 NORTHWESTERN PKY,0,485
1824 BAIRD ST,1879.55,723
1824 BOLLING AVE,5345.49,1480
1824 DATE ST,426.7,1096
1824 DUMESNIL ST,3297.87,810
1824 MAGAZINE ST,62.5,137
1824 W JEFFERSON ST,2604.75,1461
1824 W LEE ST,1606.18,1165
1824 W ORMSBY AVE,639.79,676
1825 LYTLE ST,1040.99,799
1825 MILLGATE RD,406,1214
1825 NORTHWESTERN PKY,203,457
1825 W OAK ST,216.5,477
1826 HALE AVE,1660.35,1584
1826 LYTLE ST,337.72,1191
1826 STANDARD AVE,2759.91,1563
1827 BANK ST,5599.07,1515
1827 DIXDALE AVE,351.75,1573
1827 GREENWOOD AVE,1987.48,1534
1827 LYTLE ST,475.97,400
1827 OREGON AVE,62.5,149
1827 W GAULBERT AVE,669.5,148
1827 W HILL ST,472,429
1827 W KENTUCKY ST,3904.24,1573
1828 ESQUIRE ALY,0,1475
1828 LYTLE ST,1572.49,1034
1828 OSAGE AVE,1142.75,1047
1828 W MAIN ST,1962.33,1502
1828 W ORMSBY AVE,2629.44,1584
1829 GRAND AVE,62.5,236
1829 GREENWOOD AVE,3888.97,1194
1829 HALE AVE,3472.08,1584
1830 HALE AVE,885.14,817
1830 LYTLE ST,936.24,1034
1830 W CHESTNUT ST,311.25,313
1830 W JEFFERSON ST,3181.4500000000003,1571
1830 W KENTUCKY ST,93.75,991
1831 GREEN ALY,2027.1200000000001,1465
1831 HALE AVE,2990.97,1499
1831 W HILL ST,3014.55,1527
1832 DEERWOOD AVE,943,710
1832 GREENWOOD AVE,468.5,292
1832 LYTLE ST,1395.47,1034
1832 W LEE ST,4717.25,1569
1833 BANK ST,64.5,1347
1833 GRAND AVE,224.29,1419
1833 MAGAZINE ST,1722.79,1397
1833 OSAGE AVE,873.52,1517
1833 W LEE ST,4358.04,1569
1834 GREENWOOD AVE,1500.97,1249
1834 LYTLE ST,693.49,1034
1835 BANK ST,305.5,1464
1835 GRAND AVE,531.98,1538
1835 W JEFFERSON ST,0,695
1836 GREENWOOD AVE,656.12,1419
1836 W KENTUCKY ST,4305.25,1520
1837 BANK ST,1693.1100000000001,1464
1837 BOLLING AVE,1884.07,1468
1837 DATE ST,675,1480
1837 GRAND AVE,269.47,634
1837 OSAGE AVE,4535.49,1433
1837 W HILL ST,345.4,424
1837 W KENTUCKY ST,5524.17,1584
1838 DUMESNIL ST,493,1565
1838 W HILL ST,5045.79,1458
1839 GRAND AVE,343.5,1293
1839 SHADY LN,1121.12,774
1839 W GAULBERT AVE,2938.25,1243
184 N EWING AVE,0,768
1840 W HILL ST,812.75,1458
1840 W KENTUCKY ST,3441.15,1573
1840 W ORMSBY AVE,4099.22,1474
1841 LYTLE ST,144.74,50
1842 W GAULBERT AVE,0,74
1843 BANK ST,3197.33,964
1843 GRAND AVE,4791.58,1520
1843 LYTLE ST,2773.26,1439
1843 W KENTUCKY ST,2164.62,1573
1844 GRAND AVE,1807.75,1534
1845 BAIRD ST,164.04,1472
1845 BANK ST,2217.25,1011
1846 PORTLAND AVE,340.25,208
1847 BAIRD ST,3075.87,1397
1847 BOLLING AVE,1070.75,1451
1847 W KENTUCKY ST,894.47,1584
1848 W KENTUCKY ST,430,1573
1848 W ORMSBY AVE,608.72,676
1850 W ORMSBY AVE,0,114
1851 YALE DR,0,828
1852 DATE ST,4986.96,1389
1852 DUMESNIL ST,3896.96,1584
1852 PORTLAND AVE,2222.79,1509
1853 DATE ST,4249.2,1480
1854 PORTLAND AVE,2596.54,1237
1854 W ORMSBY AVE,591.25,1508
1855 W ORMSBY AVE,2860.95,1492
1857 W ORMSBY AVE,2343.53,1475
1859 W ORMSBY AVE,3026.47,1025
1869 BROWNSBORO RD,730.75,710
1900 MAGAZINE ST,246.5,1285
1900 PORTLAND AVE,1980.74,1439
1900 W MADISON ST,750,1430
1901 BAIRD ST,128.25,306
1901 FARRINGTON DR,0,-Inf
1901 LOWER HUNTERS TRCE,262.36,464
1901 S 35TH ST,0,-Inf
1902 BANK ST,0,542
1902 LOWER HUNTERS TRCE,0,331
1903 BAIRD ST,491,60
1903 LYTLE ST,341.97,192
1903 S PRESTON ST,1521.75,432
1906 PORTLAND AVE,397,436
1906 W CHESTNUT ST,2389.41,1362
1907 AUBURN DR,140.15,415
1907 BANK ST,0,1369
1907 BASHFORD MANOR LN,822.75,194
1907 HAZELWOOD CT,1458.5,459
1908 BANK ST,1162.25,789
1908 LYTLE ST,767.23,1326
1908 OWEN ST,1902.99,1033
1909 DUNCAN ST,1356.5,1466
1909 LOWER HUNTERS TRCE,446.88,1536
1909 S PRESTON ST,3134.25,1578
1910 BAIRD ST,107.9,1221
1910 OWEN ST,2886.88,1311
1910 PORTLAND AVE,2151.25,1569
1910 S 35TH ST,5023.51,1377
1910 W CHESTNUT ST,246.5,431
1911 BANK ST,1629,1507
1911 DUNCAN ST,414.7,1466
1911 ELBA DR,0,-Inf
1911 MYDDLETON DR,0,823
1912 W CHESTNUT ST,2945.79,1534
1912 W MUHAMMAD ALI BLVD,0,743
1913 W CHESTNUT ST,2361.39,753
1914 ARBORO PL,446,373
1914 BAINBRIDGE ROW DR,0,488
1915 S PRESTON ST,784.41,1438
1916 BEECH ST,281.5,331
1916 W MARKET ST,4476.58,1499
1917 BANK ST,3313.25,1464
1917 DUNCAN ST,436.7,354
1917 MAGAZINE ST,329,1194
1917 MYDDLETON DR,168.2,1202
1917 TAFFETA DR,0,485
1918 DONALD DR,125,1166
1918 S 28TH ST,75.58,1367
1918 W MUHAMMAD ALI BLVD,367.21,1405
1919 ELBA DR,1632.9099999999999,1579
1919 S 7TH ST,0,761
1919 S PRESTON ST,0,607
1919 W MARKET ST,1227.55,1355
1920 DONALD DR,481.08000000000004,1397
1920 OWEN ST,0,219
1920 PIRTLE ST,691.9,1424
1920 W MUHAMMAD ALI BLVD,1158.9,1388
1921 FARRINGTON DR,216.5,397
1921 FLORADORA DR,0,793
1921 W MAIN ST,4773.31,1425
1922 W MUHAMMAD ALI BLVD,0,1325
1923 OLIVE ST,0,800
1924 BONNYCASTLE AVE,0,-Inf
1924 CEDAR ST,233,841
1924 CYPRESS ST,0,590
1924 LYTLE ST,3189.66,691
1925 S 28TH ST,0,348
1925 W BROADWAY,1886.4,1249
1925 W CHESTNUT ST,0,1538
1926 CROP ST,281.5,702
1926 ROWAN ST,3370.76,1572
1927 FRANKFORT AVE,0,787
1927 S 30TH ST,0,1451
1927 W CHESTNUT ST,3406.97,1480
1929 MAGAZINE ST,246.5,190
1929 OLIVE ST,2507.09,1538
1929 W CHESTNUT ST,582.72,1475
1930 BANK ST,5270.69,1237
1931 W MARKET ST,2495.5,1577
1932 W CHESTNUT ST,1564.75,1534
1932 W MARKET ST,1484,752
1933 MAGAZINE ST,2227.88,1391
1933 W CHESTNUT ST,6012.32,1534
1934 W MARKET ST,256.5,701
1936 BEECH ST,62.5,690
1937 LOWER HUNTERS TRCE,1034,1563
1938 BEECH ST,4931.41,1551
1940 W CHESTNUT ST 1,324.32,905
1941 S 30TH ST,7366.65,1573
1942 W CHESTNUT ST,3439.91,1538
1944 W JEFFERSON ST,0,39
1946 BONNYCASTLE AVE,203,558
1948 RICHMOND DR,588,1136
1953 S 16TH ST,1970.09,1531
1955 S 16TH ST,1650.21,1531
1956 DEER PARK AVE,216.5,1165
1963 DEER PARK AVE,0,1579
197 CORAL AVE 1,0,-Inf
1983 NOCTURNE DR,0,71
2 HAWTHORN HL,2179.5,710
200 MARIAN DR,0,726
200 N 26TH ST,1264.1100000000001,563
200 N 36TH ST,4053.12,1451
200 N 37TH ST,0,732
200 N 39TH ST,229.47,445
200 SMITHFIELD RD,955.36,808
2000 DUNCAN ST,0,324
2000 PORTLAND AVE,1459,1487
2000 TIMBERHAVEN TRCE,285.75,1535
2000 W BURNETT AVE,1225.04,710
2000 WILSON AVE,764,1508
2000 WOODLAND AVE,408,1503
2001 DOGOON DR,0,474
2001 LYNN LEA RD,62.5,159
2002 FLORADORA DR,1146.58,107
2002 STANDARD AVE,731.25,185
2002 W BURNETT AVE,1592.47,1027
2002 W MARKET ST,4430.5,389
2002 WILSON AVE,935.56,676
2003 W MARKET ST,62.5,298
2004 BANK ST,2491.11,480
2004 PATRICIA DR,0,165
2004 PORTLAND AVE,2751.1,1055
2004 W BURNETT AVE,4538.21,1562
2004 W MARKET ST,1216.49,1108
2004 WILSON AVE,935.46,676
2005 WILSON AVE,1251.99,1123
2006 ACORN WAY,0,851
2006 APPLETON LN,0,347
2006 GARLAND AVE,269.47,376
2006 MAGAZINE ST,2770.04,1577
2006 W MAIN ST,2053.44,1187
2006 WILSON AVE,1037.23,676
2007 ST LOUIS AVE,3244,887
2007 W MARKET ST,114.74,72
2008 ST LOUIS AVE,3038.92,1131
2008 W JEFFERSON ST,223,186
2008 W MAIN ST,566.25,1424
2009 MILLGATE RD,596.8199999999999,306
2009 ST LOUIS AVE,1095.6399999999999,1033
2009 W BROADWAY,0,471
2009 W MAIN ST,2562.79,1479
2009 WILSON AVE,114.74,43
201 LESANE CT,0,774
201 MERIDIAN AVE,0,74
201 N 34TH ST,511.97,1220
201 N 36TH ST,638.75,1277
201 N 38TH ST,572.25,1557
2010 FLORADORA DR,820,1577
2010 ROWAN ST,3066.14,1569
2010 STANDARD AVE,1987.57,1563
2010 W MAIN ST,62.5,1115
2010 WILSON AVE,114.74,43
2011 BANK ST,2077.73,424
2011 FLORADORA DR,606.75,116
2011 PIRTLE ST,1138.75,1587
2011 ROWAN ST,3090.4,1502
2011 S 41ST ST,1951.74,1507
2011 WILSON AVE,2439.7,1248
2012 HIGHLAND AVE,0,1552
2012 LYTLE ST,112.69,424
2012 W MARKET ST,942,556
2013 LYTLE ST,62.5,207
2013 STANDARD AVE,2179.49,1563
2013 W CHESTNUT ST,0,313
2013 W JEFFERSON ST,7332.87,1461
2014 CEDAR ST,112,74
2014 DIXIE HWY,0,432
2014 HOUNZ LN,841.15,1122
2014 PATRICIA DR,1123.9299999999998,1494
2014 PORTLAND AVE,901.65,1523
2014 W MARKET ST,4706.5,1489
2015 DIXIE HWY,799.5,177
2015 ROWAN ST,2638,1529
2015 STANDARD AVE,448.33,185
2015 W CHESTNUT ST,947,1389
2015 W MARKET ST,4768.68,1543
2015 WOODLAND AVE,2689.29,1488
2016 DUNCAN ST,6537.58,1530
2016 PIRTLE ST,95.75,1418
2016 PORTLAND AVE,346.25,704
2016 W MARKET ST,3882.5,1489
2016 WILSON AVE,322.19,733
2017 BANK ST,3341.21,474
2017 STANDARD AVE,0,421
2018 PEABODY LN 1,0,740
2018 S 22ND ST,824.21,1367
2018 ST LOUIS AVE,4191.9,1564
2019 BANK ST,770.44,423
2019 S 22ND ST,3926.41,1570
2019 W BURNETT AVE 1,62.5,450
2019 W JEFFERSON ST,384.08000000000004,604
202 N 36TH ST,0,1229
202 N 39TH ST,3466.79,1454
202 S 43RD ST,0,340
202 WATERLEAF WAY,1019.68,1165
2020 CONGRESS ST,0,558
2020 EASTERN PKY 101,0,17
2020 PEABODY LN 13,0,803
2020 W MAIN ST,3993.83,1465
2020 W MARKET ST,1414,1492
2020 WILSON AVE,344.21,428
2021 MARILEE DR,657.13,1255
2021 WOODLAND AVE,4373.76,1543
2022 ROWAN ST,2583.25,1201
2022 ST LOUIS AVE,552,327
2022 WILSON AVE,4225.42,1494
2023 LYTLE ST,1094.9099999999999,1349
2023 WOODLAND AVE,4298.6900000000005,1543
2025 DIXIE GARDEN DR,918,402
2025 LYTLE ST,2887.94,1349
2025 MARILEE DR,0,373
2026 ROWAN ST,2945.2200000000003,1502
2027 S 16TH ST,0,-Inf
2028 W MARKET ST,3306.5,1492
203 BLACKBURN AVE,0,95
203 BUSH RD,0,775
203 E ADAIR ST,2372.75,1522
203 N 35TH ST,304.5,873
203 N 39TH ST,272.64,68
2030 W MARKET ST,1189.29,1481
2031 BANK ST,0,425
2032 LYTLE ST,0,718
2032 PORTLAND AVE,265.4,696
2034 SPEED AVE,0,-Inf
2035 LYTLE ST,1066.45,390
2035 S 16TH ST,598,723
204 FREEMAN AVE,324.75,1125
204 N 26TH ST,2953.67,1520
204 N 38TH ST,1109.25,1418
204 S ARBOR PARK,0,1440
2040 PORTLAND AVE,5155.22,1508
2043 S 41ST ST,3506.67,1390
2045 S 41ST ST,5486.41,1390
205 BURLEIGH CT,485.29,822
206 DALEVIEW LN,1041.5,353
206 IDLEWYLDE DR,467,1416
206 MARIAN DR,902.5,401
206 N 26TH ST,3651.32,1520
206 N 34TH ST,62.5,753
207 DERBY AVE,0,817
207 N 34TH ST,0,1356
207 REDDING RD,0,1180
207 W EVELYN AVE,655.97,656
208 CAREY AVE,0,1180
208 CLAREMONT AVE,93.75,235
208 CUMBERLAND AVE,449.5,711
208 MARYTENA DR,0,1215
208 N 24TH ST,227.54000000000002,1501
208 S 28TH ST,2902.75,1509
208 S 43RD ST,0,726
209 CLUB OAK CT,0,373
209 DR W J HODGE ST,1927.06,1481
209 N 19TH ST,693.8199999999999,355
209 N 24TH ST,0,387
209 N 34TH ST,1745.37,1356
209 NORTHWESTERN PKY,5629.06,1412
210 MARYTENA DR,0,1557
210 N 24TH ST,1115.79,1501
210 OTTAWA AVE,0,999
210 S 28TH ST,351,93
210 S 43RD ST,2214,879
2100 ALGONQUIN PKY 1,62.5,800
2100 BANK ST,3046.95,787
2100 BOLLING AVE,5175.46,1480
2100 GREENWOOD AVE,1074.75,1480
2100 MAGAZINE ST,0,71
2100 W BURNETT AVE,626,1579
2100 W LEE ST,94,708
2100 W MAIN ST,2613.75,1480
2100 WILSON AVE,640.1800000000001,428
2101 DATE ST,4974.32,1544
2101 GRAND AVE,1772.45,1025
2101 HALE AVE,274.73,1381
2101 W HILL ST,0,414
2101 W MARKET ST,120,116
2101 W MUHAMMAD ALI BLVD,436,1499
2102 HALE AVE,2082.8,1311
2102 ST LOUIS AVE,2387.73,1258
2102 W KENTUCKY ST,2247.72,1545
2102 W ORMSBY AVE,3058.93,1492
2103 HALE AVE,1212.75,1488
2103 W MUHAMMAD ALI BLVD,438,1499
2103 WALLIE ANN CT,0,1082
2103 WOODLAND AVE,654.5,1555
2104 DUMESNIL ST,3519.82,1544
2104 GREENWOOD AVE,530.29,1585
2104 RATCLIFFE AVE,229,1269
2104 S 40TH ST,6581.01,1551
2104 W GAULBERT AVE,3554.5,1564
2104 W LEE ST,1516,705
2104 WILSON AVE,260.72,82
2105 ALLSTON AVE,527.5,474
2105 BRADLEY AVE,1074.5,1129
2105 DUNCAN ST,0,1223
2105 HALE AVE,1476.97,1569
2105 OREGON AVE,860.3199999999999,1451
2105 ST LOUIS AVE,0,1585
2105 W ORMSBY AVE,1960.33,1426
2105 WILSON AVE,2656.72,1424
2105 WOODLAND AVE,1916.21,1555
2106 ALLSTON AVE,4726.11,1565
2106 APPLETON LN,0,984
2106 BOLLING AVE,3083.35,1551
2106 GREENWOOD AVE,1048,1332
2106 RATCLIFFE AVE,0,341
2106 ST XAVIER ST,251,655
2106 W BURNETT AVE,4739.26,1425
2106 W ORMSBY AVE,1189.2,943
2106 WILSON AVE,4905.39,1424
2107 PORTLAND AVE,268,662
2107 W OAK ST,1910.11,1529
2107 W ORMSBY AVE,567.74,1426
2107 WILSON AVE,63.5,733
2107 WOODLAND AVE,1123.73,1555
2108 CEDAR ST,1024.75,1209
2108 CLEVELAND AVE,0,1479
2108 W JEFFERSON ST,0,75
2108 W MADISON ST,8704.96,1445
2108 WEST LN,0,485
2109 BOLLING AVE,128.54000000000002,760
2109 CEDAR ST,1825.25,1531
2109 DATE ST,0,1307
2109 ROCKFORD LN,649.5,829
2109 ROWAN ST,0,864
2109 ST LOUIS AVE,1124.29,1535
2109 W BURNETT AVE,6341.2,1297
2109 W MARKET ST,310.25,865
2109 W MUHAMMAD ALI BLVD,5927.62,1544
2109 W ORMSBY AVE,1698.72,1587
2109 WILSON AVE,0,676
2109 WOODLAND AVE,1261.98,1555
211 CLAREMONT AVE,521.5,1572
211 LINDA DR,1724,144
211 S 28TH ST,141,927
2110 BELQUIN RD,108.25,46
2110 BURWELL AVE,0,1458
2110 GREENWOOD AVE,2277.7,1572
2110 RATCLIFFE AVE,4449.61,1355
2110 W JEFFERSON ST,7492.05,1480
2110 W MADISON ST,0,1376
2111 CEDAR ST,1185,1209
2111 CLEVELAND AVE,223,788
2111 GRIFFITHS AVE,2123.07,1123
2111 KENILWORTH PL,0,1111
2111 OSAGE AVE,1049.58,1453
2111 PALATKA RD,0,109
2111 PORTLAND AVE,692.5,515
2111 S 39TH ST,896.21,1551
2111 S SHELBY ST,1128.5,1579
2111 ST LOUIS AVE,343.82,1535
2111 W ORMSBY AVE,2326.16,1306
2111 WEST LN,76.5,759
2111 WILSON AVE,0,1095
2111 WOODLAND AVE,1201.98,1555
2112 GARLAND AVE,1958.8,1376
2112 GREEN ALY,121.5,801
2112 GRIFFITHS AVE,3699.96,1486
2112 STANDARD AVE,2309.1,1451
2112 W MADISON ST,304.5,190
2112 W ORMSBY AVE,0,1426
2112 WILSON AVE,1682.75,1419
2113 ALGONQUIN PKY,62.5,753
2113 OSAGE AVE,846,1116
2113 S 39TH ST,3746.21,1551
2113 W MUHAMMAD ALI BLVD,4144.19,1499
2113 WILSON AVE,2733.44,1054
2113 WOODLAND AVE,2917.94,1555
2114 ALGONQUIN PKY,574.75,738
2114 DATE ST,0,341
2114 DUMESNIL ST,93.75,1201
2114 GARLAND AVE,1178.75,1545
2114 W BURNETT AVE,0,1534
2114 W KENTUCKY ST,0,1545
2114 W MAIN ST,0,122
2114 W ORMSBY AVE,0,1499
2114 WOODLAND AVE,0,1479
2115 PORTLAND AVE,727.12,612
2115 ROWAN ST,701.04,819
2115 W MUHAMMAD ALI BLVD,5403.61,1499
2115 WINSTON AVE,0,761
2115 WOODLAND AVE,2667.19,1555
2116 CEDAR ST,473,414
2116 DATE ST,5315.84,1188
2116 HOWARD ST,2518.61,1557
2116 ST LOUIS AVE,630.22,1419
2116 W BURNETT AVE,5413,1486
2116 W KENTUCKY ST,1437.66,1068
2116 W MADISON ST,7024.06,1445
2116 W ORMSBY AVE,64.5,1474
2116 WOODLAND AVE,0,1479
2117 BOLLING AVE,351.22,453
2117 DIXDALE AVE,401.25,626
2117 DUMESNIL ST,62.5,704
2117 EASTERN PKY,0,348
2117 GRAND AVE,0,1069
2117 PORTLAND AVE,101.32,515
2117 ROWAN ST,216.5,819
2117 TOP HILL RD,0,527
2117 W BURNETT AVE,0,808
2117 W HILL ST,127,1383
2117 W MAIN ST,2069.75,1543
2117 WOODLAND AVE,1323.23,1555
2118 CEDAR ST,1719.49,1531
2118 DUMESNIL ST,93.75,1213
2118 GREENWOOD AVE,2933.13,1572
2118 OSAGE AVE,203,208
2118 W ORMSBY AVE,14057.94,1489
2118 WILSON AVE,3736.37,1369
2119 DUMESNIL ST,3719.7200000000003,810
2119 DUNCAN ST,0,46
2119 OREGON AVE,3276.48,1564
2119 ROWAN ST,3330.37,1479
2119 W BURNETT AVE,1817.08,1451
2119 WOODLAND AVE,263,1215
212 N 17TH ST,3066.8,1503
212 N 21ST ST,93.75,1052
212 N 26TH ST,3587.35,1520
212 POPE ST,1194.5,1424
212 S 28TH ST,5320.21,1454
2120 ALLSTON AVE,0,102
2120 BOLLING AVE,6587.98,1551
2120 COLUMBIA ST,238.5,222
2120 GARLAND AVE,0,1257
2120 GRIFFITHS AVE,1866.04,234
2120 OREGON AVE,0,1108
2120 PIRTLE ST,934,1314
2120 W JEFFERSON ST,324.5,39
2120 W MADISON ST,2987,873
2120 W ORMSBY AVE,156.25,941
2121 BANK ST,422.5,1487
2121 CEDAR ST,114.74,1417
2121 DATE ST,1478.47,1584
2121 DUNCAN ST,6183.2,1479
2121 W CHESTNUT ST,2731.7,1412
2121 W MADISON ST,249.47,25
2121 WILSON AVE,249.65,1573
2121 WOODLAND AVE,0,1215
2122 BELQUIN RD,108.25,46
2122 CLEVELAND AVE,2996.25,1545
2122 HALE AVE,712.47,257
2122 OSAGE AVE,2850.29,1426
2122 STANDARD AVE,101.5,341
2122 W MADISON ST,922.35,873
2122 W ORMSBY AVE,2001.29,1426
2123 HALE AVE,0,670
2123 W MUHAMMAD ALI BLVD,473,68
2123 WOODLAND AVE,2407.13,1537
2124 DUMESNIL ST,203,430
2124 GRAND AVE,3154.6,1503
2124 GREENWOOD AVE,3237.25,1426
2124 GRINSTEAD DR,0,60
2124 MAGAZINE ST,2769.25,1437
2124 ROWAN ST,0,362
2124 W MADISON ST,1441.37,1391
2124 W MARKET ST,0,432
2125 BASHFORD MANOR LN,0,326
2125 GRIFFITHS AVE,3371.17,1122
2125 MAGAZINE ST,3672.95,1489
2125 PORTLAND AVE,463,486
2125 W KENTUCKY ST,3714.18,1543
2126 DUMESNIL ST,0,82
2126 GRAND AVE,0,1534
2126 OREGON AVE,974.25,1447
2126 STANDARD AVE,1389.49,1585
2126 W JEFFERSON ST 1,0,1199
2126 W MADISON ST,814.12,1391
2127 7TH STREET RD,0,859
2127 BASHFORD MANOR LN,324.75,823
2127 BUECHEL BANK RD,818,1480
2127 MCCLOSKEY AVE,880.25,1206
2127 PORTLAND AVE,281.5,486
2127 W LEE ST,246.5,85
2128 DATE ST,777.9,1109
2128 NEW MAIN ST,146.15,1409
2128 OLD SHEPHERDSVILLE RD,217.8,145
2128 W CHESTNUT ST,1306.75,1493
2128 W JEFFERSON ST,1062.75,1495
2128 W MAIN ST,0,71
2129 GRAND AVE,2643.04,1475
2129 W OAK ST,0,24
213 HIAWATHA AVE,470,1405
213 N 26TH ST,216.5,696
213 S 28TH ST,468,1403
2130 GARLAND AVE,65,1556
2130 W MAIN ST,0,71
2131 BELQUIN RD,1156.5,1076
2131 W MUHAMMAD ALI BLVD 1,51,1577
2134 BANK ST,2818.43,1502
2134 COLUMBIA ST,661.5,355
2134 DUNCAN ST,64.5,1363
2134 W MAIN ST,0,71
2135 W LEE ST,820.75,823
2136 DUNCAN ST,3297.28,1319
2136 LYTLE ST,1021.04,1241
2137 BELQUIN RD,164.5,109
2137 CRITTENDEN DR,125,828
2137 ROWAN ST,863.25,1494
2138 COLUMBIA ST,751.25,571
2139 BELQUIN RD,356.3,109
2139 ROWAN ST,2608.15,1479
214 N 26TH ST,4100.2300000000005,1520
214 POPE ST,1674.65,1424
214 S 28TH ST,606.25,43
2144 BANK ST,1489.11,1464
2144 GLENWORTH AVE,1078,717
2145 W GAULBERT AVE,2557,1083
2145 W LEE ST,2016.45,1559
2146 W HILL ST,125,694
2146 W LEE ST,1936.98,1479
2148 SHERWOOD AVE,0,822
215 N 19TH ST,4507.37,1467
215 N 24TH ST,1171.4,1472
215 S 24TH ST,1349.04,1437
215 S 43RD ST,2621.59,1221
215 S SPRING ST,387.25,1139
215 W COLLINS CT,682,1508
216 DR W J HODGE ST 3,63.5,1241
216 E WAMPUM AVE,62.5,837
216 N 26TH ST,5640.09,1472
216 N 36TH ST,300.65,716
216 N 37TH ST,0,64
216 S 23RD ST,1253.5,1468
216 S SHAWNEE TER,93.75,717
2160 SHERWOOD AVE,0,843
2166 SHERWOOD AVE,0,108
217 ALPHA AVE,676,1558
217 DELMONT AVE,0,61
217 EASTERN WOOD CT,0,745
217 N 19TH ST,4098.5,1467
217 N 26TH ST,1289.97,1409
217 N 39TH ST,0,445
217 S 17TH ST,310.25,1405
217 S 19TH ST,2025.52,1458
217 S 23RD ST,156.25,892
217 S 24TH ST,93.75,359
217 S 25TH ST,4897,1584
217 S 28TH ST 1,2704.47,1184
217 SAUNDERS AVE,0,1556
217 W SOUTHLAND BLVD,108.25,103
218 CAREY AVE,0,89
218 DELMONT AVE,639.75,1311
218 DOWNES LN,0,1564
218 S 23RD ST,3141.25,1468
218 S 43RD ST,364.75,491
219 ELDORADO AVE,0,1195
219 MARENGO DR,0,1578
219 S 23RD ST,385.92,891
219 S 25TH ST,0,1376
219 S 26TH ST,686.25,185
219 S 28TH ST 1,3019.98,1494
219 S 43RD ST,1621,1221
219 W WOODLAWN AVE 1,587.83,298
220 DR W J HODGE ST 2,127,1332
220 N 18TH ST,977.47,1335
220 POPE ST,871.47,1353
220 S 24TH ST,1499,751
220 S 25TH ST,1938.4,464
220 S 41ST ST,101.32,373
2200 CEDAR ST,236.5,369
2200 DUMESNIL ST,1288.49,1082
2200 GRAND AVE,649.3399999999999,1170
2200 GREEN ALY,324.75,604
2200 GRIFFITHS AVE,2583.22,1529
2200 MAPLE ST,93.75,1073
2200 W CHESTNUT ST,248,815
2200 W OAK ST,1926.32,1475
2201 DUNCAN ST,3616.31,1503
2201 S 9TH ST,4170.09,1502
2201 ST LOUIS AVE,2084,1585
2201 W BURNETT AVE,1655.5,963
2201 W MARKET ST,2667.45,1020
2201 W OAK ST,64.5,1249
2201 WILSON AVE,2211.7,1577
2202 7TH STREET RD,0,26
2202 AMBOY DR,76.5,660
2202 BOLLING AVE,3488.36,1164
2202 GARLAND AVE,0,206
2202 GRIFFITHS AVE,2152.36,1515
2202 W OAK ST,268,676
2202 W ORMSBY AVE,0,243
2203 AMBOY DR,71.58,1374
2203 BURWELL AVE,953.15,1480
2203 CEDAR ST,577.47,473
2203 DATE ST,1820.85,842
2203 DUMESNIL ST,4272.8,1585
2203 ST LOUIS AVE,4955.77,1425
2203 W BURNETT AVE,285,1355
2203 W MARKET ST,304.5,359
2203 WILSON AVE,0,676
2204 GARLAND AVE,229.47,1187
2204 MAPLE ST,0,1059
2204 PARKWOOD RD,1013,781
2204 W OAK ST,0,782
2205 COTTAGE LN,129.54,1073
2205 DUMESNIL ST,888.69,841
2205 W BURNETT AVE,915.45,1026
2205 W CHESTNUT ST,0,730
2205 W MARKET ST,717.25,359
2205 WILSON AVE,2933.17,1073
2206 GREENWOOD AVE,1599.75,1419
2206 MAPLE ST,0,1059
2206 OSAGE AVE,932.25,676
2206 WILSON AVE,1892,1555
2207 BRADLEY AVE,1805.83,1502
2207 CEDAR ST,216.5,369
2207 W ORMSBY AVE,2388.9700000000003,1285
2208 DUMESNIL ST,3086.9,1508
2208 GARRS LN,0,1151
2208 ST LOUIS AVE,0,456
2208 ST XAVIER ST,0,262
2208 W JEFFERSON ST,0,79
2209 CEDAR ST,2050.08,1507
2209 DUNCAN ST,0,36
2209 GRAND AVE,1980.91,1312
2209 W BURNETT AVE,2133.93,1585
2209 W ORMSBY AVE,62.5,579
2209 WILSON AVE,3184.95,1555
2209 WOODLAND AVE,203,491
221 BONNIE LN,921,1558
221 N 39TH ST,216.5,312
221 S 26TH ST,0,507
221 S 32ND ST,551,466
221 W BURNETT AVE,0,1405
221 W CHESTNUT ST,56,108
2210 BOLLING AVE,2203.32,1082
2210 BURWELL AVE,302.75,1458
2210 GRAND AVE,3234.36,1569
2210 GRIFFITHS AVE,0,1515
2210 MAPLE ST,1416.8600000000001,1187
2210 WOODLAND AVE,1011.75,1424
2211 CLEVELAND AVE,662.3199999999999,473
2211 DUMESNIL ST,121.32,394
2211 GRANGER RD,1749.75,774
2211 ST LOUIS AVE,2074.5,1130
2211 W MADISON ST,1279.67,1060
2211 WILSON AVE,2854.14,1363
2212 DUMESNIL ST,1324.75,1424
2212 MAPLE ST,0,73
2212 W OAK ST,2352,1311
2213 CEDAR ST,422.25,907
2213 ST LOUIS AVE,3173.11,1573
2213 W MARKET ST,409.75,819
2214 DUMESNIL ST,1038.1,1431
2214 MAPLE ST,0,1058
