CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
3631 ELDERWOOD WAY 1,2013-08-27,130.54000000000002,NA,NA
3638 MANSLICK RD 1,2013-08-01,1510.04,NA,NA
3650 TAYLOR BLVD 101,2014-08-20,2101.67,NA,NA
3670 WHEELER AVE 101,2013-09-09,4857.1,NA,NA
3708 BARDSTOWN RD,2013-08-12,95.75,NA,NA
3708 ST FRANCIS AVE,2014-10-28,0,NA,NA
3708 W BROADWAY A,2013-12-17,4081.98,NA,NA
3709 SOUTH PARK RD,2013-12-03,1117.5,NA,NA
3710 VERMONT AVE 1,2013-06-04,196.5,NA,NA
3800 MIAMI AVE,2013-05-29,2223.39,NA,NA
3801 S HURSTBOURNE PKY,2017-06-26,0,NA,NA
3807 ALGONQUIN PKY,2014-07-29,2619.41,NA,NA
3810 FREEDOM WAY 1,2015-03-23,648.02,NA,NA
3810 FREEDOM WAY 16,2014-09-10,125,NA,NA
3810 FREEDOM WAY 8,2014-09-10,62.5,NA,NA
3811 VERMONT AVE 1,2014-03-11,855.5,NA,NA
3812 CANE RUN RD,2014-08-14,2080.6,NA,NA
3813 ALGONQUIN PKY,2013-06-04,4028.71,NA,NA
3818 SOUTHERN PKY 101,2014-12-18,108.9,NA,NA
3820 OBOE DR 1,2017-04-17,0,NA,NA
3821 SOUTHERN PKY,2015-09-09,613.5,NA,NA
3828 SOUTHERN PKY 1,2015-09-29,693.64,NA,NA
3902 S 5TH ST,2014-12-22,0,NA,NA
3907 W MARKET ST 1,2014-12-01,0,NA,NA
3908 NORTHWESTERN PKY,2014-05-14,1007.5,NA,NA
3911 SOUTHERN PKY 2,2013-08-07,1002.5,NA,NA
3918 NORTHWESTERN PKY,2017-04-06,0,NA,NA
3918 SOUTH PARK RD,2016-09-21,0,NA,NA
3932 PFLANZ AVE,2013-08-15,3531.91,NA,NA
3933 NORTHWESTERN PKY,2014-03-17,2228.47,NA,NA
3940 PFLANZ AVE,2013-08-15,4771.18,NA,NA
4012 CHURCHMAN AVE A,2016-03-30,0,NA,NA
4012 CHURCHMAN AVE C,2016-10-05,1397.75,NA,NA
4020 SOUTHERN PKY,2016-03-31,4847.88,NA,NA
4023 W BROADWAY 1,2016-05-26,1542.75,NA,NA
403 LOUIS COLEMAN JR DR,2014-12-22,4926.93,NA,NA
409 W KINGSTON AVE,2015-09-16,0,NA,NA
410 CAMP ST,2014-06-04,1297.92,NA,NA
4107 LAKE DREAMLAND RD,2014-12-24,0,NA,NA
411 IOWA AVE 1,2013-08-12,184.98,NA,NA
411 IOWA AVE 2,2013-09-30,64.5,NA,NA
4110 PIRATE LN,2013-08-15,0,NA,NA
4117 LAKE DREAMLAND RD,2015-11-16,0,NA,NA
4120 LAKE DREAMLAND RD,2014-10-14,759.65,NA,NA
4131 GREENWOOD AVE,2013-06-20,554.15,NA,NA
416 DR W J HODGE ST,2014-08-26,1358.75,NA,NA
417 MARRET AVE,2015-08-06,0,NA,NA
417 S 27TH ST,2016-05-13,247.75,NA,NA
419 SHELBY PKY,2015-08-18,101.5,NA,NA
4203 LARKWOOD AVE 1,2015-01-26,952.3199999999999,NA,NA
4209 LAKE DREAMLAND RD,2015-12-28,830.5799999999999,NA,NA
4211 LAKE DREAMLAND RD,2015-12-28,753.7199999999999,NA,NA
4212 ALGONQUIN PKY,2013-06-11,5191.95,NA,NA
4226 NEWPORT RD,2014-04-10,599.1,NA,NA
4226 VIRGINIA AVE,2014-09-02,1165.73,NA,NA
4230 NEWPORT RD 1,2014-06-03,540.45,NA,NA
4243 PRESTON HWY,2016-06-24,1489,NA,NA
4303 NORBROOK DR 1,NA,0,NA,NA
4304 NAOMI DR 1,2017-01-09,0,NA,NA
4305 W MARKET ST 1,2017-03-30,1252.7,NA,NA
431 WINKLER AVE 1,NA,0,NA,NA
4311 LAKE DREAMLAND RD,2013-12-16,0,NA,NA
4330 NEWPORT RD 1,NA,0,NA,NA
4331 POPLAR LEVEL RD,2014-09-24,0,NA,NA
4342 NEWPORT RD 1,2015-10-12,1744.25,NA,NA
436 CALDWELL ST,2015-07-09,1989.75,NA,NA
439 LOUIS COLEMAN JR DR,2013-08-02,1906.46,NA,NA
4401 SOUTHERN PKY,2016-08-24,536.58,NA,NA
4403 NEWPORT RD 1,2014-03-18,45.25,NA,NA
4412 TAYLOR BLVD 74,2014-02-10,304.5,NA,NA
442 DR W J HODGE ST,2014-08-26,324.75,NA,NA
4422 SOUTH RIDGE DR,2015-05-21,0,NA,NA
4433 CHURCHMAN AVE 1,2016-09-01,101.32,NA,NA
446 N 25TH ST,2013-09-18,1840.83,NA,NA
4500 CRESCENT VIEW TRL,2015-08-25,0,NA,NA
4501 LAKE DREAMLAND RD,2014-10-08,406,NA,NA
4501 SOUTHWESTERN PKY,2014-08-08,0,NA,NA
4514 BROADLEAF DR 1,2013-07-31,2949.29,NA,NA
4514 BROADLEAF DR 10,2013-08-19,0,NA,NA
4514 BROADLEAF DR 12,2015-12-07,448.75,NA,NA
4514 BROADLEAF DR 4,2013-07-31,64.5,NA,NA
4514 BROADLEAF DR 7,2013-07-31,64.5,NA,NA
4517 BEECHBROOK RD 1,NA,0,NA,NA
4526 LAKE DREAMLAND RD,2016-10-13,734.5,NA,NA
4531 LAKE DREAMLAND RD,2017-07-25,0,NA,NA
4532 LAKE DREAMLAND RD,2014-10-29,2956.89,NA,NA
4545 SOUTHWESTERN PKY,2013-07-29,3015.38,NA,NA
4549 SOUTHWESTERN PKY,2013-09-19,2821.22,NA,NA
4550 SOUTHERN PKY,2017-06-29,0,NA,NA
4603 LAKE DREAMLAND RD,2015-11-17,1339,NA,NA
4603 LINGER CT,2013-06-25,720.25,NA,NA
4603 SOUTH RIDGE DR,2013-10-15,0,NA,NA
4604 LAKE DREAMLAND RD,2013-06-10,1583.08,NA,NA
4607 LAKE DREAMLAND RD,2013-08-19,2478.25,NA,NA
4612 E OVERBROOK DR,2013-11-20,6754.96,NA,NA
4615 LAKE DREAMLAND RD,2014-12-23,141,NA,NA
4618 E OVERBROOK DR,2014-12-23,0,NA,NA
4619 LAKE DREAMLAND RD,2014-12-23,2334.19,NA,NA
4621 LAKE DREAMLAND RD,2014-01-13,1386.44,NA,NA
4623 LAKE DREAMLAND RD,2014-01-13,1744.4099999999999,NA,NA
465 N 28TH ST,2017-02-07,518.87,NA,NA
4704 ST RITA DR,NA,0,NA,NA
4707 S OVERBROOK DR,2014-04-07,2009.19,NA,NA
4723 S OVERBROOK DR,2016-05-23,3033.21,NA,NA
4730 MANSLICK RD,2017-09-14,0,NA,NA
4808 ST LEO PL,2016-11-29,108.25,NA,NA
4813 W OVERBROOK DR,2017-09-13,233.16,NA,NA
4828 SOUTHERN PKY,2014-08-04,391,NA,NA
4835 POPLAR LEVEL RD 101,NA,0,NA,NA
4905 SADDLEBROOK LN 1,2013-09-19,680.75,NA,NA
4907 WEST SIDE DR,2014-09-15,235,NA,NA
4911 OUTER LOOP,2013-08-28,609,NA,NA
500 W SOUTHLAND BLVD,2017-09-19,0,NA,NA
5005 S OVERBROOK DR,2016-04-06,855.25,NA,NA
504 LYNDON LN,2015-06-18,0,NA,NA
506 E ST CATHERINE ST,2014-06-30,1168.43,NA,NA
5101 S OVERBROOK DR,2015-09-30,1908.42,NA,NA
5103 CANE RUN RD,2015-11-16,0,NA,NA
5106 S OVERBROOK DR,2016-09-26,2046,NA,NA
513 AMY AVE 1,2014-08-20,156.25,NA,NA
514 E ORMSBY AVE 1,2016-10-24,439.5,NA,NA
516 S 18TH ST 1,2015-08-12,100.82,NA,NA
517 AMY AVE 5,2014-10-09,191.29000000000002,NA,NA
520 S 26TH ST,2016-07-11,574.22,NA,NA
522 E BRECKINRIDGE ST,2017-08-10,216.5,NA,NA
522 W ST CATHERINE ST,2014-08-06,399.83000000000004,NA,NA
525 N 17TH ST,2017-08-23,0,NA,NA
526 N 29TH ST 1,2014-02-24,328.19,NA,NA
527 N 19TH ST,2017-07-17,101.5,NA,NA
534 CALDWELL ST,2013-05-29,2386.85,NA,NA
534 N 31ST ST 1,2013-06-06,5349.19,NA,NA
536 N 31ST ST 1,2013-06-06,4262.4,NA,NA
538 CALDWELL ST,2016-02-29,344.75,NA,NA
541 N 31ST ST,2015-12-01,0,NA,NA
546 S 20TH ST,2013-11-26,4003.89,NA,NA
551 EASTERN PKY,NA,0,NA,NA
552 EASTERN PKY,2016-01-13,756.91,NA,NA
552 S 35TH ST,2015-10-08,0,NA,NA
5605 W SOUTHLAND BLVD,2017-06-06,1229.52,NA,NA
5625 W SOUTHLAND BLVD,2014-01-07,715.65,NA,NA
5700 W SOUTHLAND BLVD,2013-10-01,4993.61,NA,NA
601 CALDWELL ST,2015-07-13,2359.5,NA,NA
604 EASTERN PKY 1,2014-10-10,0,NA,NA
604 W FLORENCE AVE,2014-06-04,344.5,NA,NA
605 N 33RD ST,2015-03-18,938.5699999999999,NA,NA
609 CALDWELL ST,2013-10-29,3037.23,NA,NA
610 S 44TH ST,2013-08-06,0,NA,NA
6107 ANNIE MICHELE LN 101,2014-03-17,0,NA,NA
612 E ST CATHERINE ST,2017-09-13,507.5,NA,NA
614 S 22ND ST,2014-01-14,1816.22,NA,NA
623 CALDWELL ST,2017-08-22,0,NA,NA
625 S 19TH ST 1,2013-07-26,3399.34,NA,NA
626 S 26TH ST,2016-11-08,0,NA,NA
629 CALDWELL ST,2013-07-30,3251.5,NA,NA
629 S 19TH ST,2013-07-26,1100,NA,NA
6305 TRIPLETT WOODS DR,2015-08-11,0,NA,NA
631 S 19TH ST,2013-07-26,908,NA,NA
631 SOUTHWESTERN PKY,2015-05-11,329,NA,NA
6311 COMMERCE PARK CT,2016-05-12,974.25,NA,NA
6319 BARDSTOWN RD,2017-06-19,229.47,NA,NA
632 E BRECKINRIDGE ST,2015-01-21,1866.75,NA,NA
633 S 22ND ST 1,NA,0,NA,NA
634 E ST CATHERINE ST,2013-05-20,1262.71,NA,NA
636 E ST CATHERINE ST,2013-11-11,0,NA,NA
638 JORDAN AVE,2013-07-24,2182.95,NA,NA
640 CAMP ST,2017-07-05,259.47,NA,NA
640 ZORN AVE 9B,2015-09-22,184.55,NA,NA
6402 SIX MILE LN,2017-07-11,0,NA,NA
6418 EL RANCHO RD,2013-06-11,0,NA,NA
644 S 22ND ST,2014-07-18,1684.95,NA,NA
649 SOUTHWESTERN PKY,2014-10-30,0,NA,NA
6500 ASHLEY MARIE LN 101,2013-08-08,399.44,NA,NA
6500 HACKEL DR 4,2014-02-18,789.4200000000001,NA,NA
6504 HACKEL DR 1,NA,0,NA,NA
6536 ESTELE AVE,2014-08-19,453,NA,NA
654 DAVIES AVE 101,2016-08-25,906.3199999999999,NA,NA
6541 ESTELE AVE,2014-07-17,0,NA,NA
6591 SYLVANIA NO 6 RD,2014-10-14,609,NA,NA
6608 SYLVANIA NO 4 RD,2016-03-02,1165.65,NA,NA
6618 STRAWBERRY LN,2014-06-23,141,NA,NA
662 LINDELL AVE 1,2016-11-09,409.75,NA,NA
662 LINDELL AVE 3,2014-12-02,0,NA,NA
6632 ESTELE AVE,2015-11-30,233,NA,NA
6642 STRAWBERRY LN,2013-06-23,747.19,NA,NA
669 HECKS LN,2015-09-02,2405.4900000000002,NA,NA
6700 SYLVANIA NO 6 RD,2014-01-30,1342.1299999999999,NA,NA
6702 PUTMAN ST,2014-01-27,735.79,NA,NA
679 CECIL AVE 1,2013-10-15,961.86,NA,NA
6800 PRESTON HWY,2014-06-24,164,NA,NA
6901 SYLVANIA NO 4 RD,2014-03-12,957.25,NA,NA
700 W WHITNEY AVE 1,2013-08-02,3601.55,NA,NA
7007 RIVER RD,2016-08-25,373.1,NA,NA
708 CALDWELL ST,2013-09-04,561.83,NA,NA
713 CALDWELL ST,2013-12-16,0,NA,NA
715 CALDWELL ST,2013-11-13,1245,NA,NA
720 W ST CATHERINE ST,2016-05-04,656.18,NA,NA
722 MAC DONALD RD,2015-10-13,0,NA,NA
722 S 15TH ST,2013-10-21,512.5,NA,NA
722 W ST CATHERINE ST,2013-07-22,3626.96,NA,NA
724 COKE ST,2014-06-25,500.725,NA,NA
724 W ST CATHERINE ST,2013-07-22,718.86,NA,NA
725 E ST CATHERINE ST,2013-09-19,202.11,NA,NA
726 CALDWELL ST,2014-03-26,0,NA,NA
728 S 24TH ST 1,2014-09-03,1510.99,NA,NA
729 CALDWELL ST,2013-09-11,2534.49,NA,NA
730 CALDWELL ST,2014-05-02,0,NA,NA
7301 AUTUMN TRACE DR 101,2015-08-23,0,NA,NA
7301 FEGENBUSH LN 101,2014-07-29,363.97,NA,NA
7303 AUTUMN TRACE DR 101,2015-08-23,0,NA,NA
7305 AUTUMN TRACE DR 101,2015-08-23,0,NA,NA
7307 AUTUMN TRACE DR 101,2015-08-23,0,NA,NA
7309 AUTUMN TRACE DR 101,2015-10-08,0,NA,NA
731 W ST CATHERINE ST,2013-07-18,1969.66,NA,NA
7318 DIXIE HWY,2017-08-07,108.25,NA,NA
740 E KENTUCKY ST,NA,0,NA,NA
7413 FEYHURST DR 3,2014-10-23,970.5,NA,NA
7415 FEYHURST DR 1,2015-05-13,655,NA,NA
748 S 23RD ST,2014-12-15,247.05,NA,NA
7501 TERRY RD,2016-02-01,0,NA,NA
7511 ST ANDREWS CHURCH RD,2014-10-21,0,NA,NA
7513 GARRISON RD 1,2015-08-11,0,NA,NA
7600 GREEN MILL DR,2016-07-08,974.25,NA,NA
7718 ST BERNARD CT,2017-02-27,459.5,NA,NA
7803 ST ANDREWS CHURCH RD 70,2015-06-24,918.19,NA,NA
7905 JUDGE BLVD,2017-06-02,0,NA,NA
7912 SMYRNA PKY,2015-06-08,1e3,NA,NA
8012 BLAKE LN,2013-08-28,62.5,NA,NA
804 CALDWELL ST,2015-07-13,1992.29,NA,NA
806 W ST CATHERINE ST,2013-07-22,2375.05,NA,NA
808 W ST CATHERINE ST,2015-11-16,216.5,NA,NA
810 W ST CATHERINE ST,2017-08-08,0,NA,NA
8107 ATLANTA PKY,2016-06-13,2088.54,NA,NA
8109 BLUE LICK RD,2014-06-17,0,NA,NA
812 S 22ND ST A,2014-07-18,310.25,NA,NA
812 W ST CATHERINE ST,2013-07-22,1911.6100000000001,NA,NA
818 FORREST ST,2014-09-30,324.5,NA,NA
819 LAMPTON ST 1,2017-07-05,0,NA,NA
830 S 12TH ST,2014-03-06,2949.5,NA,NA
8313 SMYRNA PKY,2015-06-08,0,NA,NA
8346 DORINDA DR,2013-05-30,2845,NA,NA
836 S 12TH ST,2013-08-01,7380.12,NA,NA
8406 PRESTON HWY,2017-08-15,581.25,NA,NA
847 S 13TH ST,2015-03-26,1359.2,NA,NA
852 S 22ND ST A,2014-06-11,2113.57,NA,NA
8807 TRANQUIL VALLEY LN,2016-06-06,0,NA,NA
902 CHARLES ST,2017-07-24,108.25,NA,NA
903 ALGONQUIN PKY,2014-08-14,433,NA,NA
904 CHARLES ST,2017-07-24,301.5,NA,NA
906 S HANCOCK ST,2017-08-09,93.75,NA,NA
9101 FOXPLUM CT,2015-08-25,0,NA,NA
913 NORTON AVE,2013-08-01,1152.46,NA,NA
913 W BURNETT AVE,2014-08-13,433,NA,NA
915 W LEE ST,2013-07-31,3039.4700000000003,NA,NA
917 E MUHAMMAD ALI BLVD 1,2013-09-25,3907.5,NA,NA
917 SOUTHWESTERN PKY,2017-05-24,306.5,NA,NA
920 DANDRIDGE AVE,2017-07-24,148.25,NA,NA
921 SOUTHWESTERN PKY,2017-05-11,101.5,NA,NA
921 W LEE ST,2013-07-18,1559.45,NA,NA
9211 MAPLE RD,2015-04-22,324.75,NA,NA
922 MASON AVE,2017-05-15,368,NA,NA
923 SHELBY PKY,2015-04-02,0,NA,NA
925 E ST CATHERINE ST,2013-08-01,821.47,NA,NA
925 W MAIN ST,2017-06-07,1661,NA,NA
927 SHELBY PKY,2013-07-31,7023.28,NA,NA
9303 3RD STREET RD,2016-01-04,0,NA,NA
931 S HANCOCK ST,NA,0,NA,NA
932 DIXIE HWY,2013-07-12,327.75,NA,NA
934 W OAK ST,2015-02-10,3376.25,NA,NA
936 E ST CATHERINE ST,2015-11-17,216.5,NA,NA
940 S 6TH ST 1,2014-08-19,2687.15,NA,NA
9408 SMYRNA PKY,2015-04-30,606.25,NA,NA
942 S 6TH ST 1,NA,0,NA,NA
943 E ST CATHERINE ST,2013-07-23,1106.4,NA,NA
951 E ST CATHERINE ST,2015-09-29,1511.69,NA,NA
951 S 7TH ST 1,2013-05-30,2813.13,NA,NA
954 S FLOYD ST 1,2013-09-19,5524.11,NA,NA
960 GOSS AVE 1,2013-09-17,0,NA,NA
967 S 7TH ST,2013-11-11,1779.32,NA,NA
967 S PRESTON ST,2014-04-01,1054.57,NA,NA
9807 SEATONVILLE RD,2014-06-30,125,NA,NA
APEX DR,2015-08-06,0,NA,NA
